node_id,node_type,bipartite,label,coverage_status,author_channel_id,author_name,author_handle,comments_total,distinct_videos,distinct_channels,likes_total,replies_total,video_id,title,channel_id,channel_name,category,source_group,view_count,comments_observed,unique_authors
video::YSsECnqTVik,video,1,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,sin_comentarios_recolectados,,,,,,,,,YSsECnqTVik,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,15.0,0.0,0.0
video::ZHJoIah2Owo,video,1,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,sin_comentarios_recolectados,,,,,,,,,ZHJoIah2Owo,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,182.0,0.0,0.0
video::ZNwStkzWgso,video,1,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,sin_comentarios_recolectados,,,,,,,,,ZNwStkzWgso,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,UC_lEiu6917IJz03TnntWUaQ,CNN en Español,News & Politics,topic,24636.0,0.0,0.0
video::ZPBiWdHXg20,video,1,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,sin_comentarios_recolectados,,,,,,,,,ZPBiWdHXg20,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,233632.0,0.0,0.0
video::ZS74P3DnykA,video,1,"Policía Nacional Civil gradúa 3,978 nuevos agentes",sin_comentarios_recolectados,,,,,,,,,ZS74P3DnykA,"Policía Nacional Civil gradúa 3,978 nuevos agentes",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,News & Politics,official_gov,115270.0,0.0,0.0
video::Z_pWnOi7oRw,video,1,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,sin_comentarios_recolectados,,,,,,,,,Z_pWnOi7oRw,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,official_gov,1329.0,0.0,0.0
video::ZhrDgVZkhg4,video,1,FORMACION BRIGADA DE PROVIAL,sin_comentarios_recolectados,,,,,,,,,ZhrDgVZkhg4,FORMACION BRIGADA DE PROVIAL,UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,People & Blogs,official_gov,4419.0,0.0,0.0
video::_1VIxOLyaUQ,video,1,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,sin_comentarios_recolectados,,,,,,,,,_1VIxOLyaUQ,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,Entertainment,topic,330057.0,0.0,0.0
video::_3kK0or6QI0,video,1,PROVIAL guatemala,sin_comentarios_recolectados,,,,,,,,,_3kK0or6QI0,PROVIAL guatemala,UCdd624oESXuVlcGtrzMWEBQ,heto009,News & Politics,official_gov,2054.0,0.0,0.0
video::_Lcbi4NCHRA,video,1,Tercer Informe General de la República,sin_comentarios_recolectados,,,,,,,,,_Lcbi4NCHRA,Tercer Informe General de la República,UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,News & Politics,topic,305269.0,0.0,0.0
video::_NSq2q0mzCY,video,1,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,sin_comentarios_recolectados,,,,,,,,,_NSq2q0mzCY,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,47.0,0.0,0.0
video::_cUZT7LMKE0,video,1,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,sin_comentarios_recolectados,,,,,,,,,_cUZT7LMKE0,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2708.0,0.0,0.0
video::a2zgl-1KZwY,video,1,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,sin_comentarios_recolectados,,,,,,,,,a2zgl-1KZwY,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,official_gov,2334.0,0.0,0.0
video::a3QGSpNx9Mg,video,1,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,sin_comentarios_recolectados,,,,,,,,,a3QGSpNx9Mg,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,Travel & Events,topic,8098.0,0.0,0.0
video::a6QFfhpY53g,video,1,Provial Informa,sin_comentarios_recolectados,,,,,,,,,a6QFfhpY53g,Provial Informa,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,People & Blogs,official_gov,49.0,0.0,0.0
video::aRKgOSxgsF0,video,1,@GobiernodeGuatemala,sin_comentarios_recolectados,,,,,,,,,aRKgOSxgsF0,@GobiernodeGuatemala,UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,People & Blogs,topic,2.0,0.0,0.0
video::aSbvMYJhmCc,video,1,Policía Nacional Civil,sin_comentarios_recolectados,,,,,,,,,aSbvMYJhmCc,Policía Nacional Civil,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,4346.0,0.0,0.0
video::a_kAe9IhBbo,video,1,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,sin_comentarios_recolectados,,,,,,,,,a_kAe9IhBbo,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,255.0,0.0,0.0
video::ahicr7fQREY,video,1,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,sin_comentarios_recolectados,,,,,,,,,ahicr7fQREY,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,65.0,0.0,0.0
video::almmnboHkwM,video,1,Se mueve Guate 🚌,sin_comentarios_recolectados,,,,,,,,,almmnboHkwM,Se mueve Guate 🚌,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,297.0,0.0,0.0
video::anFbrgqxdzY,video,1,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),sin_comentarios_recolectados,,,,,,,,,anFbrgqxdzY,Horas Antes del Big One | Dentro de Ciudad de Guatemala Exactamente Antes del Terremoto (1976),UC6Y7Hk0Otm2xeX1WoHOQp6Q,Nostalgia Latina,People & Blogs,topic,222656.0,0.0,0.0
video::aoz2j4TTl4E,video,1,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,sin_comentarios_recolectados,,,,,,,,,aoz2j4TTl4E,Rutas Alternas a partir del lunes 03 de agosto por avances de #AeroMetroGT,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,topic,8905.0,0.0,0.0
video::bBz8nX4pMxc,video,1,Conred e Insivumeh informan sobre sismos en Guatemala este 31 de julio,sin_comentarios_recolectados,,,,,,,,,bBz8nX4pMxc,Conred e Insivumeh informan sobre sismos en Guatemala este 31 de julio,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,Entertainment,official_gov,1115.0,0.0,0.0
video::bMoENbSBSNs,video,1,¿Por qué Guatemala es una República? El decreto del 21 de marzo de 1847 y Rafael Carrera,sin_comentarios_recolectados,,,,,,,,,bMoENbSBSNs,¿Por qué Guatemala es una República? El decreto del 21 de marzo de 1847 y Rafael Carrera,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,Education,topic,1134.0,0.0,0.0
video::b_Hkrkl3adA,video,1,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,con_comentarios_recolectados,,,,,,,,,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,5469.0,7.0,7.0
video::bg1KCMaIrRM,video,1,"¡Atención, vecinos!",sin_comentarios_recolectados,,,,,,,,,bg1KCMaIrRM,"¡Atención, vecinos!",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,1965.0,0.0,0.0
video::bzosgvntOXU,video,1,Municipalidad de Guatemala 05/09/2025,sin_comentarios_recolectados,,,,,,,,,bzosgvntOXU,Municipalidad de Guatemala 05/09/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,160.0,0.0,0.0
video::cl3Rpw9MstQ,video,1,Municipalidad de Guatemala sigue trabajando,sin_comentarios_recolectados,,,,,,,,,cl3Rpw9MstQ,Municipalidad de Guatemala sigue trabajando,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,topic,484.0,0.0,0.0
video::cpoiRUtF9uU,video,1,Congreso termina jornada sin acuerdos para aliviar precio de combustibles #ALAS7AM (02/09/2026),sin_comentarios_recolectados,,,,,,,,,cpoiRUtF9uU,Congreso termina jornada sin acuerdos para aliviar precio de combustibles #ALAS7AM (02/09/2026),UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,News & Politics,topic,117.0,0.0,0.0
video::csqia7f3OIE,video,1,SISTEMA CONRED Y METODOLOGÍA DE LOS 6 PASOS,sin_comentarios_recolectados,,,,,,,,,csqia7f3OIE,SISTEMA CONRED Y METODOLOGÍA DE LOS 6 PASOS,UCzQX0cEQzCZ4ff9-P3gELug,Carlitos Gamboa,People & Blogs,official_gov,509.0,0.0,0.0
video::d-V_Aw1t6nI,video,1,Graduacion  de la 57 Promocion  de la Policia Nacional Civil  de Guatemala.,sin_comentarios_recolectados,,,,,,,,,d-V_Aw1t6nI,Graduacion  de la 57 Promocion  de la Policia Nacional Civil  de Guatemala.,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,People & Blogs,official_gov,1643.0,0.0,0.0
