node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
author::UC5PrBbmUlQolwqmiru7yZhw,autor,@lazarochavez8269,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.773
author::UCgLrWFdYitoP-b7-PxtUr-w,autor,@zetag,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.073
author::UCgLurCo-e019HGODcjXHWCw,autor,@perritojuega1,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.007
author::UC5PyGvSfFM--OVKmQ3COu6g,autor,@FreddyGmez,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.872
author::UCY7Hq7F9Lnucf-Yr6JkHZNw,autor,@maynorcalel1442,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.028
author::UCRcSR3Lvn9DZAmJpVPANfZQ,autor,@WalksandSuch,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.964
author::UCyzf29IYjNw67gGIfsjgtxA,autor,@carlosoliva9249,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.793
author::UCXmrpc6Li0spcKxtS0Q_ptg,autor,@melvinperez6710,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.847
author::UCtMBF_1O2jY2INlb_luuB_A,autor,@mynorgudiel8646,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.617
author::UCi-vPdnpQreC7BkFs40mJGA,autor,@bryansicasales4280,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.976
author::UCs_5qeqdku9tGAq22y3OcuQ,autor,@alexandrevasquez4135,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.971
author::UC0RpuMwkDKJYqgKHtsJRuWQ,autor,@sabinamarinaguerra3248,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.972
author::UCqilIa8r7iek5sGYg_q6ofA,autor,@rolandojuchuna484,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.84
author::UC5fvhAfm89JH8eDFdvc0xYw,autor,@isaidiaz2388,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.471
author::UC0aEyakBPqcBkVJiErfSupQ,autor,@jhonymanuel9891,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.867
author::UC094EFEmMSdwVa8NQjjYBXg,autor,@CelestinoQuej-j7k,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.157
author::UCxKR3RA8T-kxMgq_2WWhRcQ,autor,@elenaluarca9377,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.973
author::UCIUhbSCy3-SGRe5UtqM4fzQ,autor,@jeanmorales1677,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,-0.931
author::UCGqKxQS-z3NZzZF-2w338AA,autor,@samuelaguilar529,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.901
author::UCFOxCyF926Y9eHhMeVoWLzw,autor,@arielsarc09,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.926
author::UCwUAv3_LpWVtTIi7lkmTL7A,autor,@kingr4706,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.628
author::UCSTAUWVc1_82DHYeqOsqEFA,autor,@TheAlexX_C,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.941
author::UCHu8x4MVkayU6VgwVKd--MQ,autor,@Hernandez-i1o,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.968
author::UCGm3gRBEHGRJYmtCryZLtDw,autor,@JoséLopez-g6k,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.819
author::UCRznz9-N3Qc1w-qNdLSIY2Q,autor,@jimmygomez724,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.915
author::UCaT6M2zp7X6r6Whd8Vv3kHQ,autor,@alexarcos8349,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.851
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,@crislexrubi4387,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.955
