source,target,weight,relation
author::UCeDNEtI8_a42bZ47wJiJMwQ,video::j43HgwYFKfk,1,comento_en
author::UCeQk-WfEA-cJRq4EKeE7TOw,video::6W4u8sGEnGM,1,comento_en
author::UCefAH1MbvADWUjE9WVcB9EQ,video::yLZS3JiEBg8,1,comento_en
author::UCf5lnNZF7Qrtli9v4N_23WQ,video::PjmxCj-a9Hg,1,comento_en
author::UCfM3nrxtTQMY5jFx1v1J4Gg,video::n8iP75gIpmw,1,comento_en
author::UCfRqgt2O-vjzUDMZY_tnxQw,video::is3Mk5oC19g,1,comento_en
author::UCfXykdbSU97rj987LDUGfvg,video::06mFNPU0aB8,1,comento_en
author::UCfjhejO7LZy4doXURa7LZCQ,video::06mFNPU0aB8,1,comento_en
author::UCfo_yUPzy1f1POwwZxhZ06Q,video::6W4u8sGEnGM,1,comento_en
author::UCg3eIfd7BrsLEqS0BLkftHA,video::PjmxCj-a9Hg,3,comento_en
author::UCgGqw4aqMdMVSGkKiMgrJRQ,video::6W4u8sGEnGM,1,comento_en
author::UCgJNFj5dnxXpcMvmuhZDPxA,video::j43HgwYFKfk,1,comento_en
author::UCgLrWFdYitoP-b7-PxtUr-w,video::lj983NWyAQY,1,comento_en
author::UCgLurCo-e019HGODcjXHWCw,video::lj983NWyAQY,1,comento_en
author::UCgQJgI9vu1FI2dnC9mrFthw,video::PjmxCj-a9Hg,1,comento_en
author::UCgQw_Sbq3ugruDUKsq1e0-A,video::j43HgwYFKfk,1,comento_en
author::UCgvw7xIdGFupzpt1Y_BFkEA,video::n8iP75gIpmw,1,comento_en
author::UCh5ESQvtzyHDhCA7XyekCFA,video::n8iP75gIpmw,3,comento_en
author::UChT7pzGytNd92Nmvi-zuWog,video::yLZS3JiEBg8,1,comento_en
author::UChZknRmJkeGeQk0-mQuhDOg,video::n8iP75gIpmw,1,comento_en
author::UCheEJ5GZuIvV0fj-nXyVwXw,video::6W4u8sGEnGM,1,comento_en
author::UChep9kVb5gQmpodEEl10Xlg,video::n8iP75gIpmw,1,comento_en
author::UChgkn5Jt5tWKYMoEOuCjz3Q,video::n8iP75gIpmw,1,comento_en
author::UChs3tU2BcKOT0CezykvAsGw,video::n8iP75gIpmw,3,comento_en
author::UChyps3dqY-VY1_wLeq-2lhw,video::6W4u8sGEnGM,1,comento_en
author::UCi-vPdnpQreC7BkFs40mJGA,video::lj983NWyAQY,1,comento_en
author::UCi1b_TRQfgO1Z9O2gNGGWNA,video::n8iP75gIpmw,2,comento_en
author::UCi2KiZq63sRq8Mfbcp-MelQ,video::OkXlHx0hx-8,6,comento_en
author::UCiC-Jn7wdgyQV4_Urk0DkWQ,video::j43HgwYFKfk,1,comento_en
author::UCiGRBf2RNF0WRKhRVT7zFoA,video::n8iP75gIpmw,1,comento_en
author::UCiMythXHsw7eQEMykCdmMUA,video::n8iP75gIpmw,1,comento_en
author::UCiOZX__1gahg1ypIj0_XG_w,video::6W4u8sGEnGM,1,comento_en
author::UCipetjeiWj4CZB6EbyYziZg,video::n8iP75gIpmw,1,comento_en
author::UCj-LL25XJnjxepPKCc3NGog,video::n8iP75gIpmw,1,comento_en
author::UCjJf-AJKRFFWtiN-CSwkDmA,video::ndAZjHqzzT8,1,comento_en
author::UCjSKM9j0Q7HLDr1hD6D-TUw,video::n8iP75gIpmw,1,comento_en
author::UCjZgFEowMBrsjodqfovzdKw,video::06mFNPU0aB8,1,comento_en
author::UCjZgFEowMBrsjodqfovzdKw,video::6W4u8sGEnGM,1,comento_en
author::UCjmPuazZJzscrwvk0QR9RVw,video::n8iP75gIpmw,1,comento_en
author::UCk4O-J1BhoqPmig1KLGJePA,video::is3Mk5oC19g,1,comento_en
author::UCkVtmkK07b2zaVVNssX4lOg,video::j43HgwYFKfk,1,comento_en
author::UCkbsS_3D-pvg1iHOld9uvIg,video::j43HgwYFKfk,1,comento_en
author::UCkd9W714-947dEE6ZOEBATA,video::n8iP75gIpmw,2,comento_en
author::UCkxdJ_yGN2gghOMo2ybQtXQ,video::yLZS3JiEBg8,1,comento_en
author::UCl0ekS9Tt0jJGtOEM18S63w,video::n8iP75gIpmw,1,comento_en
author::UCld2stqxaVSk0QdGncM224A,video::TT4qJ5FXHYE,1,comento_en
author::UClhMWQ7XKWywYvbRnuf8QsA,video::j43HgwYFKfk,1,comento_en
author::UCljDbleJul41G1TzOjOZAVA,video::n8iP75gIpmw,1,comento_en
author::UClqA491Xa5fQcXcJJa-vTWw,video::j43HgwYFKfk,1,comento_en
author::UClsrFGJKWPxxw7MiaEdKLXw,video::PjmxCj-a9Hg,1,comento_en
author::UCmjppp6ujz3SAnULvP3sZMw,video::n8iP75gIpmw,1,comento_en
