origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UCFOxCyF926Y9eHhMeVoWLzw,video::lj983NWyAQY,1,3,0,0.926,comento_en,UCFOxCyF926Y9eHhMeVoWLzw,@arielsarc09,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala
author::UCFUuDARXdmmIrLppEqf-rFg,video::n8iP75gIpmw,1,0,0,-0.262,comento_en,UCFUuDARXdmmIrLppEqf-rFg,@allanmunoz7410,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFhxtoeARHPnXXPcDrOU3Xg,video::n8iP75gIpmw,1,2,0,0.541,comento_en,UCFhxtoeARHPnXXPcDrOU3Xg,@diegoalejandrolopezmendez205,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFjudnPLoaSL1BaRuLahyHg,video::n8iP75gIpmw,3,3,0,-0.299,comento_en,UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFoIAE8k82D6AV-8gjjKaNg,video::n8iP75gIpmw,1,1,1,-0.889,comento_en,UCFoIAE8k82D6AV-8gjjKaNg,@eddymunoz9789,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFxE8GbokBrBsPEKM1xrOjQ,video::n8iP75gIpmw,1,10,0,-0.97,comento_en,UCFxE8GbokBrBsPEKM1xrOjQ,@JuanDavila-qd7qj,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFybmWapGvBKcQod7cPPH9w,video::6W4u8sGEnGM,1,1,0,0.875,comento_en,UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UCGGHbtfbbe0o68etrOf0qxw,video::j43HgwYFKfk,1,0,0,0.937,comento_en,UCGGHbtfbbe0o68etrOf0qxw,@karensussetteleonvargas9794,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UCGX_UbAQOXGZknv5iqklwTA,video::PjmxCj-a9Hg,1,1,0,-0.013,comento_en,UCGX_UbAQOXGZknv5iqklwTA,@ronaldgarcia8522,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala
author::UCGZMgmM92E3njyXNe9-kjAQ,video::OkXlHx0hx-8,1,2,1,-0.031,comento_en,UCGZMgmM92E3njyXNe9-kjAQ,@pasionpornada,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
