author_channel_id,author_handle,comentarios,videos,canales,likes,respuestas
UCj-LL25XJnjxepPKCc3NGog,@anaaguirre8985,1,1,1,1,0
UCjJf-AJKRFFWtiN-CSwkDmA,@2jose82,1,1,1,0,0
UCjSKM9j0Q7HLDr1hD6D-TUw,@josehidalgo4875,1,1,1,2,0
UCjmPuazZJzscrwvk0QR9RVw,@mynorrodas8591,1,1,1,2,0
UCk4O-J1BhoqPmig1KLGJePA,@lazarobarillas3575,1,1,1,0,0
UCkVtmkK07b2zaVVNssX4lOg,@HectorElias-u2l,1,1,1,0,0
UCkbsS_3D-pvg1iHOld9uvIg,@gonzalo6075,1,1,1,0,0
UCkxdJ_yGN2gghOMo2ybQtXQ,@11223344An,1,1,1,1,0
UCl0ekS9Tt0jJGtOEM18S63w,@monkchapin,1,1,1,0,0
UCld2stqxaVSk0QdGncM224A,@sarahernandez3873,1,1,1,4,0
UClhMWQ7XKWywYvbRnuf8QsA,@EcPerez-zz9oh,1,1,1,0,0
UCljDbleJul41G1TzOjOZAVA,@hectorcarranza3777,1,1,1,1,0
UClqA491Xa5fQcXcJJa-vTWw,@AndresLemus-k2d,1,1,1,0,0
UClsrFGJKWPxxw7MiaEdKLXw,@ericapaz5406,1,1,1,3,2
UCmjppp6ujz3SAnULvP3sZMw,@marcomendez7509,1,1,1,0,0
UCmvOgzmmXbjUthHy-WJ52hQ,@mariorodas593,1,1,1,1,0
UCnU8wO1OurAmGstDw6VGjgQ,@cmorera21,1,1,1,0,0
UColMq7LmaoY3MT6aIDGrGvA,@quijotachapina1,1,1,1,0,0
UCozFYHN0e_-vlQbX3wQGOug,@jesusguzman2321,1,1,1,5,2
UCp4iw5_5SmV9VGTFSNVGOmQ,@CARLOSSTREMS51,1,1,1,0,0
UCpIdtvoFHVLGASGB5ySqIEA,@VidalVillatoro-p4w,1,1,1,1,0
UCp_dAUfv8i3LW3zWc24dLaQ,@MarioCortez-o6v,1,1,1,1,0
UCpe5jW3MIqkgTJ-PgkzvM6Q,@carloslam5333,1,1,1,1,0
UCpl8rF8uv_8uui-QRvuJaRA,@SergioGarcia-z9c,1,1,1,0,0
UCplrIQtaPj6au60_f2-mOYw,@romeolopezherrarte799,1,1,1,0,0
UCq3mDTTRZnUybct5M9OSXbg,@MacoMorales-i2i2d,1,1,1,1,0
UCqCrvuoJpC-aVb0f4logQRQ,@Lyrics_GT,1,1,1,0,0
UCqilIa8r7iek5sGYg_q6ofA,@rolandojuchuna484,1,1,1,52,1
UCql1n3Ey6ULMSOACjMe-fxQ,@RolandoGonzalez-o7g,1,1,1,6,7
UCr1emrogPKkKTs_WTtx71xg,@domingopeneleu6457,1,1,1,0,0
UCrqXyRsg-_hTosURZ-uvoKg,@flornolberto2425,1,1,1,0,0
UCsGoJEvb-cFPZ2rWoJcXzEQ,@sergiohinestroza9709,1,1,1,10,0
UCsJJAvrVGupdmhOqgtDp8dg,@nestorlorenzana1168,1,1,1,1,0
UCsSXdJct-nsS8DsABoEsaYA,@IvánPérez-j4j,1,1,1,2,1
UCs_5qeqdku9tGAq22y3OcuQ,@alexandrevasquez4135,1,1,1,4,0
UCsjs5Hp_r86x1xbK6FAeqaA,@alvaroesquivel563,1,1,1,2,0
UCtMBF_1O2jY2INlb_luuB_A,@mynorgudiel8646,1,1,1,15,0
UCtNfIBnc5S5DbbQj_yxgJTw,@JosueRamirez-ey3ih,1,1,1,1,0
UCtUR3_CAiE7fCoZHM6cMfyQ,@mdelcid01,1,1,1,10,0
UCtiHFjFu7d5v2XxHnKFUYig,@Paul-gf7ec,1,1,1,0,0
UCtowGNY2lnlg6O2CkwDgkLg,@taniagabrielacelis8434,1,1,1,2,0
UCtsxPYw8VUsH_FfnKg-0lmw,@AlejandroPérez-b6r,1,1,1,2,0
UCu8_3-Wg-YzNyvHYQDEscfw,@RolandoCastroPérez-d7y,1,1,1,2,0
UCuP4UK33HKtJE_S39ksmaTw,@herbertaguilar1387,1,1,1,0,0
